recording,mode,timestamp,baseline_text,low_text,moderate_text,high_text,very_high_text,classification
1786194763609,command_menu,12120.0,partial:вниз,partial:,partial:вниз,partial:вниз,partial:вниз,different_unclear
1786194763609,command_menu,12160.0,partial:вниз,partial:,partial:вниз,partial:вниз,partial:вниз,different_unclear
1786194763609,command_menu,12200.0,partial:вниз,partial:,partial:вниз,partial:вниз,partial:вниз,different_unclear
1786194763609,command_menu,12240.0,partial:вниз,partial:,partial:вниз,partial:вниз,partial:вниз,different_unclear
1786194763609,command_menu,12280.0,partial:вниз,partial:,partial:вниз,partial:вниз,partial:вниз,different_unclear
1786194763609,command_menu,12320.0,partial:вниз,partial:,partial:вниз,partial:вниз,partial:вниз,different_unclear
1786194763609,command_menu,12840.0,endpoint:вниз,partial:вниз,partial:вниз,partial:вниз,partial:вниз,different_unclear
1786194763609,command_menu,12880.0,partial:,partial:вниз,partial:вниз,partial:вниз,partial:вниз,different_unclear
1786194763609,command_menu,12920.0,partial:,partial:вниз,partial:вниз,partial:вниз,partial:вниз,different_unclear
1786194763609,command_menu,12960.0,partial:,partial:вниз,partial:вниз,partial:вниз,partial:вниз,different_unclear
1786194763609,command_menu,13000.0,partial:,partial:вниз,partial:вниз,partial:вниз,partial:вниз,different_unclear
1786194763609,command_menu,13040.0,partial:,partial:вниз,partial:вниз,partial:вниз,partial:вниз,different_unclear
1786194763609,command_menu,13080.0,partial:,endpoint:вниз,endpoint:вниз,endpoint:вниз,endpoint:вниз,different_unclear
1786194763609,command_menu,16920.0,partial:доступность,partial:вверх,partial:,partial:,partial:доступность,different_unclear
1786194763609,command_menu,16960.0,partial:доступность,partial:вверх,partial:,partial:,partial:доступность,different_unclear
1786194763609,command_menu,17000.0,partial:доступность,partial:вверх,partial:,partial:,partial:доступность,different_unclear
1786194763609,command_menu,17040.0,partial:доступность,partial:вверх,partial:,partial:,partial:доступность,different_unclear
1786194763609,command_menu,17080.0,partial:доступность,partial:вверх,partial:,partial:,partial:доступность,different_unclear
