recording,mode,variant,timestamp,event,text
1786194763609,command_menu,baseline,10320.0,partial,вниз
1786194763609,command_menu,baseline,10400.0,partial,вниз
1786194763609,command_menu,baseline,10480.0,partial,вниз
1786194763609,command_menu,baseline,10560.0,partial,вниз
1786194763609,command_menu,baseline,10640.0,partial,вниз
1786194763609,command_menu,baseline,10720.0,partial,вниз
1786194763609,command_menu,baseline,10800.0,partial,вниз
1786194763609,command_menu,baseline,10880.0,partial,вниз
1786194763609,command_menu,baseline,10960.0,partial,вниз
1786194763609,command_menu,baseline,11040.0,partial,вниз
1786194763609,command_menu,baseline,11120.0,partial,вниз
1786194763609,command_menu,baseline,11200.0,partial,вниз
1786194763609,command_menu,baseline,11280.0,partial,вниз
1786194763609,command_menu,baseline,11360.0,partial,вниз
1786194763609,command_menu,baseline,11440.0,partial,вниз
1786194763609,command_menu,baseline,11520.0,partial,вниз
1786194763609,command_menu,baseline,11600.0,partial,вниз
1786194763609,command_menu,baseline,11680.0,partial,вниз
1786194763609,command_menu,baseline,11760.0,partial,вниз
1786194763609,command_menu,baseline,11840.0,partial,вниз
1786194763609,command_menu,baseline,11920.0,partial,вниз
1786194763609,command_menu,baseline,12000.0,partial,вниз
1786194763609,command_menu,baseline,12080.0,partial,вниз
1786194763609,command_menu,baseline,12160.0,partial,вниз
1786194763609,command_menu,baseline,12240.0,partial,вниз вниз
1786194763609,command_menu,baseline,12320.0,partial,вниз вниз
1786194763609,command_menu,baseline,12400.0,partial,вниз вниз
1786194763609,command_menu,baseline,12480.0,partial,вниз вниз
1786194763609,command_menu,baseline,12560.0,partial,вниз вниз
1786194763609,command_menu,baseline,12640.0,partial,вниз вниз
1786194763609,command_menu,baseline,12720.0,partial,вниз вниз
1786194763609,command_menu,baseline,12800.0,partial,вниз вниз
1786194763609,command_menu,baseline,12880.0,partial,вниз вниз
1786194763609,command_menu,baseline,12960.0,partial,вниз вниз
1786194763609,command_menu,baseline,13040.0,partial,вниз вниз
1786194763609,command_menu,baseline,13120.0,partial,вниз вниз
1786194763609,command_menu,baseline,13200.0,partial,вниз вниз
1786194763609,command_menu,baseline,13280.0,partial,вниз вниз
1786194763609,command_menu,baseline,13360.0,partial,вниз вниз
1786194763609,command_menu,baseline,13440.0,partial,вниз вниз
1786194763609,command_menu,baseline,13520.0,partial,вниз вниз
1786194763609,command_menu,baseline,13600.0,partial,вниз вниз
1786194763609,command_menu,baseline,13680.0,endpoint,вниз вниз
1786194763609,command_menu,baseline,16080.0,partial,вверх
1786194763609,command_menu,baseline,16160.0,partial,вверх
1786194763609,command_menu,baseline,16240.0,partial,вверх
1786194763609,command_menu,baseline,16320.0,partial,вверх
1786194763609,command_menu,baseline,16400.0,partial,вверх
1786194763609,command_menu,baseline,16480.0,partial,вверх
1786194763609,command_menu,baseline,16560.0,partial,вверх
1786194763609,command_menu,baseline,16640.0,partial,вверх
1786194763609,command_menu,baseline,16720.0,partial,вверх
1786194763609,command_menu,baseline,16800.0,partial,вверх
1786194763609,command_menu,baseline,16880.0,partial,вверх
1786194763609,command_menu,baseline,16960.0,partial,вверх
1786194763609,command_menu,baseline,17040.0,partial,вверх
1786194763609,command_menu,baseline,17120.0,partial,вверх
1786194763609,command_menu,baseline,17200.0,partial,вверх
1786194763609,command_menu,baseline,17280.0,partial,вверх
1786194763609,command_menu,baseline,17360.0,partial,вверх
1786194763609,command_menu,baseline,17440.0,partial,вверх
1786194763609,command_menu,baseline,17520.0,partial,вверх вверх
1786194763609,command_menu,baseline,17600.0,partial,вверх вверх
1786194763609,command_menu,baseline,17680.0,partial,вверх вверх
1786194763609,command_menu,baseline,17760.0,partial,вверх вверх
1786194763609,command_menu,baseline,17840.0,partial,вверх вверх
1786194763609,command_menu,baseline,17920.0,partial,вверх вверх
1786194763609,command_menu,baseline,18000.0,partial,вверх вверх
1786194763609,command_menu,baseline,18080.0,partial,вверх вверх
1786194763609,command_menu,baseline,18160.0,partial,вверх вверх
1786194763609,command_menu,baseline,18240.0,partial,вверх вверх
1786194763609,command_menu,baseline,18320.0,partial,вверх вверх
1786194763609,command_menu,baseline,18400.0,partial,вверх вверх
1786194763609,command_menu,baseline,18480.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,18560.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,18640.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,18720.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,18800.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,18880.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,18960.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,19040.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,19120.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,19200.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,19280.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,19360.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,19440.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,19520.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,19600.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,19680.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,19760.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,19840.0,partial,вверх вверх вверх
1786194763609,command_menu,baseline,19920.0,endpoint,вверх вверх вверх
1786194763609,command_menu,baseline,25200.0,partial,вниз
1786194763609,command_menu,baseline,25280.0,partial,вниз
1786194763609,command_menu,baseline,25360.0,partial,вниз
1786194763609,command_menu,baseline,25440.0,partial,вниз
1786194763609,command_menu,baseline,25520.0,partial,вниз
1786194763609,command_menu,baseline,25600.0,partial,вниз
1786194763609,command_menu,baseline,25680.0,partial,вниз
1786194763609,command_menu,baseline,25760.0,partial,вниз
1786194763609,command_menu,baseline,25840.0,partial,вниз
1786194763609,command_menu,baseline,25920.0,partial,вниз
1786194763609,command_menu,baseline,26000.0,partial,вниз
1786194763609,command_menu,baseline,26080.0,partial,вниз
1786194763609,command_menu,baseline,26160.0,partial,вниз
1786194763609,command_menu,baseline,26240.0,partial,вниз
1786194763609,command_menu,baseline,26320.0,partial,вниз
1786194763609,command_menu,baseline,26400.0,partial,вниз
1786194763609,command_menu,baseline,26480.0,partial,вниз
1786194763609,command_menu,baseline,26560.0,partial,вниз
1786194763609,command_menu,baseline,26640.0,partial,вниз вниз
1786194763609,command_menu,baseline,26720.0,partial,вниз вниз
1786194763609,command_menu,baseline,26800.0,partial,вниз вниз
1786194763609,command_menu,baseline,26880.0,partial,вниз вниз
1786194763609,command_menu,baseline,26960.0,partial,вниз вниз
1786194763609,command_menu,baseline,27040.0,partial,вниз вниз
1786194763609,command_menu,baseline,27120.0,partial,вниз вниз
1786194763609,command_menu,baseline,27200.0,partial,вниз вниз
1786194763609,command_menu,baseline,27280.0,partial,вниз вниз
